Channel,Condition,Replicate,priority,Mixture
Abundance..126,LiverEGF,1,5,Mixture1
Abundance..127N,LiverEGFMEKi,1,4,Mixture1
Abundance..127C,LiverVehCtl,1,1,Mixture1
Abundance..128N,LiverMEKi,1,3,Mixture1
Abundance..128C,LiverUnt,1,2,Mixture1
Abundance..129N,LiverEGF,2,5,Mixture1
Abundance..129C,LiverEGFMEKi,2,4,Mixture1
Abundance..130N,LiverVehCtl,2,1,Mixture1
Abundance..130C,LiverMEKi,2,3,Mixture1
Abundance..131N,LiverUnt,2,2,Mixture1
Abundance..131C,LiverEGF,3,5,Mixture1
Abundance..132N,LiverEGFMEKi,3,4,Mixture1
Abundance..132C,LiverVehCtl,3,1,Mixture1
Abundance..133N,Empty,Empty,Empty,Mixture1
Abundance..133C,LiverUnt,3,2,Mixture1
Abundance..134N,Empty,Empty,Empty,Mixture1
Abundance..134C,Empty,Empty,Empty,Mixture1
Abundance..135N,Empty,Empty,Empty,Mixture1
