Channel,Condition,Replicate,priority,Mixture
Abundance..126,LungEGF,1,5,Mixture1
Abundance..127N,LungEGFMEKi,1,4,Mixture1
Abundance..127C,LungVehCtl,1,1,Mixture1
Abundance..128N,LungMEKi,1,3,Mixture1
Abundance..128C,LungUnt,1,2,Mixture1
Abundance..129N,LungEGF,2,5,Mixture1
Abundance..129C,LungEGFMEKi,2,4,Mixture1
Abundance..130N,LungVehCtl,2,1,Mixture1
Abundance..130C,LungMEKi,2,3,Mixture1
Abundance..131N,LungUnt,2,2,Mixture1
Abundance..131C,LungEGF,3,5,Mixture1
Abundance..132N,LungEGFMEKi,3,4,Mixture1
Abundance..132C,LungVehCtl,3,1,Mixture1
Abundance..133N,Empty,Empty,Empty,Mixture1
Abundance..133C,Empty,Empty,Empty,Mixture1
Abundance..134N,LungUnt,3,2,Mixture1
Abundance..134C,Empty,Empty,Empty,Mixture1
Abundance..135N,Empty,Empty,Empty,Mixture1
