Channel,Condition,Replicate,priority,Mixture
Abundance..126,HeartEGF,1,5,Mixture1
Abundance..127N,HeartEGFMEKi,1,4,Mixture1
Abundance..127C,HeartVehCtl,1,1,Mixture1
Abundance..128N,HeartMEKi,1,3,Mixture1
Abundance..128C,HeartUnt,1,2,Mixture1
Abundance..129N,HeartEGF,2,5,Mixture1
Abundance..129C,HeartEGFMEKi,2,4,Mixture1
Abundance..130N,HeartVehCtl,2,1,Mixture1
Abundance..130C,HeartMEKi,2,3,Mixture1
Abundance..131N,HeartUnt,2,2,Mixture1
Abundance..131C,HeartEGF,3,5,Mixture1
Abundance..132N,Empty,Empty,Empty,Mixture1
Abundance..132C,HeartEGFMEKi,3,4,Mixture1
Abundance..133N,HeartVehCtl,3,1,Mixture1
Abundance..133C,Empty,Empty,Empty,Mixture1
Abundance..134N,HeartUnt,3,2,Mixture1
Abundance..134C,Empty,Empty,Empty,Mixture1
Abundance..135N,Empty,Empty,Empty,Mixture1
