Run,Fraction,TechRepMixture,Mixture
a28990_Bea_Mou_Pro2,1,1,Mixture1
a28991_Bea_Mou_Pro2,2,1,Mixture1
a28997_Bea_Mou_Pro2,3,1,Mixture1
a28998_Bea_Mou_Pro2,4,1,Mixture1
a28999_Bea_Mou_Pro2,5,1,Mixture1
a29000_Bea_Mou_Pro2,6,1,Mixture1
a29001_Bea_Mou_Pro2,7,1,Mixture1
a29002_Bea_Mou_Pro2,8,1,Mixture1
a29003_Bea_Mou_Pro2,9,1,Mixture1
a29004_Bea_Mou_Pro2,10,1,Mixture1
a29005_Bea_Mou_Pro2,11,1,Mixture1
a29006_Bea_Mou_Pro2,12,1,Mixture1
a29007_Bea_Mou_Pro2,13,1,Mixture1
a29008_Bea_Mou_Pro2,14,1,Mixture1
a28988_Bea_Mou_Pro2,15,1,Mixture1
a28989_Bea_Mou_Pro2,16,1,Mixture1
a28980_Bea_Mou_Pro2,17,1,Mixture1
a28981_Bea_Mou_Pro2,18,1,Mixture1
a28982_Bea_Mou_Pro2,19,1,Mixture1
a28983_Bea_Mou_Pro2,20,1,Mixture1
a28984_Bea_Mou_Pro2,21,1,Mixture1
a28985_Bea_Mou_Pro2,22,1,Mixture1
a28986_Bea_Mou_Pro2,23,1,Mixture1
a28987_Bea_Mou_Pro2,24,1,Mixture1
